ATIVO	QUANTIDADE	2023-06-15 00:00:00	VALOR_CARTEIRA	PORCENTAGEM
ABCB4	900	17.65999984741211	R$ 15.894,00	3.65%
BBAS3	1457	49.86000061035156	R$ 72.646,02	16.68%
BBDC3	800	14.539999961853027	R$ 11.632,00	2.67%
BBDC4	900	16.899999618530273	R$ 15.210,00	3.49%
BBSE3	1900	30.579999923706055	R$ 58.102,00	13.34%
EGIE3	647	44.810001373291016	R$ 28.992,07	6.66%
FLRY3	1915	15.989999771118164	R$ 30.620,85	7.03%
ITSA4	2500	9.630000114440918	R$ 24.075,00	5.53%
JHSF3	10694	4.920000076293945	R$ 52.614,48	12.08%
PSSA3	612	27.18000030517578	R$ 16.634,16	3.82%
SANB3	1100	14.210000038146973	R$ 15.631,00	3.59%
SAPR4	4478	4.28000020980835	R$ 19.165,84	4.40%
TAEE3	1500	12.619999885559082	R$ 18.930,00	4.35%
TRPL4	2200	25.209999084472656	R$ 55.462,00	12.73%
